sys_time,calling_file,calling_function,train_id,intersection_id,action,status,pid,error_msg,resource_state,has_deadlock,train_state,node_count,cycle_path,edge_type
2025-04-18 15:17:18.919492392,Shared_Memory_Setup/Memory_Segments.c,init_shared_memory,0,SYSTEM,INIT_INTERSECTION,SUCCESS,24642,,{},false,{},0,/sem_intersection_0,
2025-04-18 15:17:18.919504625,Shared_Memory_Setup/Memory_Segments.c,init_shared_memory,0,SYSTEM,INIT_INTERSECTION,SUCCESS,24642,,{},false,{},0,/sem_intersection_1,
2025-04-18 15:17:18.919512981,Shared_Memory_Setup/Memory_Segments.c,init_shared_memory,0,SYSTEM,INIT_INTERSECTION,SUCCESS,24642,,{},false,{},0,/sem_intersection_2,
2025-04-18 15:17:18.919520820,Shared_Memory_Setup/Memory_Segments.c,init_shared_memory,0,SYSTEM,INIT_INTERSECTION,SUCCESS,24642,,{},false,{},0,/sem_intersection_3,
2025-04-18 15:17:18.919537580,Shared_Memory_Setup/Memory_Segments.c,init_shared_memory,0,SYSTEM,INIT_INTERSECTION,SUCCESS,24642,,{},false,{},0,/sem_intersection_4,
2025-04-18 15:17:50.951856422,Basic_IPC_Workflow/intersection_locks.c,add_train_to_intersection,0,SYSTEM,ADD_TRAIN,SUCCESS,1,IntersectionA,{},false,{},0,,
